date|time|description|vendor|amount

2024-04-30|22:10:58.677385700|Deposit|Autumn|150.0
2024-04-30|22:18:39.801436|Deposit|Autumn|150.0
2025-04-30|22:27:00.886485600|Deposit|Autumn|150.0
2025-05-01|10:27:00.800948300|Deposit|Autumn|150.0
2024-05-01|13:32:30.239372800|Payment|Apple|-159.0
2025-05-01|20:45:53.963099400|Deposit|samsung|1000.0
2025-05-01|20:52:29.557745200|Deposit|Sony|500.0
2025-05-01|21:01:21.226583900|Deposit|Apple|120.0
2025-05-01|21:02:58.058845600|Payment|Samsung|-50.0
2025-05-01|21:25:32.706462700|Deposit|Publix|24.0
2025-05-01|21:28:27.986575900|Deposit|Apple|130.0
2025-05-01|21:29:41.786239800|Payment|Samsung|-55.0
